Name,Locality,District,Removed,Latitude,Longitude
"Selwyn College Plodge",Newnham,Cambridge,0,52.201007,0.105527
Sidgwick,Newnham,Cambridge,0,52.201284,0.109341
"George Thomson Building",Newnham,Cambridge,0,52.201323,0.100541
"Leckhampton House",Newnham,Cambridge,0,52.201568,0.101062
"Faculty of Law",Newnham,Cambridge,0,52.201594,0.109002
"Reality Checkpoint",Market,Cambridge,0,52.202171,0.128176
"Skate Park",Petersfield,Cambridge,0,52.202182,0.131224
"Rattee Memorial",Petersfield,Cambridge,0,52.202475,0.136162
"Black Bird",Petersfield,Cambridge,0,52.203147,0.138675
"Zion Baptist Church",Petersfield,Cambridge,0,52.203672,0.132548
"The Corpus Clock",Market,Cambridge,0,52.203739,0.117669
"All Saints Teversham Church",Teversham,"South Cambridgeshire",0,52.204587,0.188013
"Blue Moon Pub",Petersfield,Cambridge,0,52.204797,0.136495
Confucius,Newnham,Cambridge,0,52.204924,0.112552
"Cambridge University Library",Newnham,Cambridge,0,52.205051,0.10847
"Snowy Farr Memorial Sculpture",Market,Cambridge,0,52.205067,0.119443
"Statues, Robinson College",Newnham,Cambridge,0,52.205133,0.104946
"Philip de Koning ""Sailing to the Future""",Newnham,Cambridge,0,52.205196,0.103834
"Christ's College Gate",Market,Cambridge,0,52.205296,0.121927
"Market Square Fountain",Market,Cambridge,0,52.205356,0.119056
"Holy Trinity War Memorial",Market,Cambridge,0,52.205853,0.120715
"Beehive Honeycomb",Petersfield,Cambridge,0,52.206048,0.143709
"Sidney Sussex Obelisk",Market,Cambridge,0,52.206746,0.120966
"Quorum Fountain",Abbey,Cambridge,0,52.206788,0.16459
"Wesley Methodist Church Sculpture",Market,Cambridge,0,52.207181,0.127162
"Champion of the Thames ",Market,Cambridge,0,52.207314,0.124419
"The Hopbine",Market,Cambridge,0,52.207373,0.129274
"Cambridge Brew House",Market,Cambridge,0,52.20743,0.122116
"All Saints Cross",Market,Cambridge,0,52.207477,0.118282
"Cambridge Lawn Tennis Club",Newnham,Cambridge,0,52.207957,0.096502
"The Burleigh Arms",Market,Cambridge,0,52.208177,0.132871
"Round Church",Market,Cambridge,0,52.208433,0.118868
"ADC Theatre",Market,Cambridge,0,52.208551,0.120085
"Coldhams Common BMX Park",Abbey,Cambridge,0,52.208616,0.154752
"Eagle @ west gate St John's",Castle,Cambridge,0,52.208816,0.111268
"'Genesis' by John Robinson",Newnham,Cambridge,0,52.209385,0.10292
"Institute For Manufacturing",Newnham,Cambridge,0,52.209708,0.087425
"The Plough Coton",Coton,"South Cambridgeshire",0,52.209827,0.066411
"The Remembered",Abbey,Cambridge,0,52.210032,0.144128
"Betty and Gordon Moore Library",Newnham,Cambridge,0,52.210102,0.102992
"Coton St. Peter's Church",Coton,"South Cambridgeshire",0,52.210293,0.060367
"Electrical Engineering Division",Newnham,Cambridge,0,52.210407,0.092895
"Iron Spike",Abbey,Cambridge,0,52.210414,0.147658
"Cambridge International Airport",Teversham,"South Cambridgeshire",0,52.210852,0.173643
"Spiky Post Box",Abbey,Cambridge,0,52.21096,0.13871
"Giant Anchor","East Chesterton",Cambridge,0,52.21127,0.13684
"Barnwell Road Library",Abbey,Cambridge,0,52.211503,0.163201
"Castle Street Methodist Church ",Castle,Cambridge,0,52.21151,0.113788
"Whittle Labs",Newnham,Cambridge,0,52.211965,0.092186
"Statue of the Meadows","West Chesterton",Cambridge,0,52.21241,0.135622
"British Antarctic Survey Sledge Dog Monument",Newnham,Cambridge,0,52.212504,0.080717
"St Edmund's Chapel",Castle,Cambridge,0,52.212867,0.108684
"36 Inch Telescope",Castle,Cambridge,0,52.213434,0.094109
"Greene King The Boat House","West Chesterton",Cambridge,0,52.213654,0.123298
"The Leper Chapel",Abbey,Cambridge,0,52.213831,0.152536
"Gathering Of Owls",Castle,Cambridge,0,52.213979,0.107903
"The Møller Centre",Castle,Cambridge,0,52.214098,0.098921
"The Waterman Pub","West Chesterton",Cambridge,0,52.214191,0.12541
"H C W Barrett Plaque",Castle,Cambridge,0,52.214443,0.105251
"The Old Spring","West Chesterton",Cambridge,0,52.214457,0.127957
"Catholic Church of St. Vincent De Paul",Abbey,Cambridge,0,52.214942,0.168062
"Chesterton War Memorial","East Chesterton",Cambridge,0,52.215533,0.139326
"Saint Luke's Church",Arbury,Cambridge,0,52.215772,0.116084
"Friends of Histon Road Cemetery",Arbury,Cambridge,0,52.216085,0.111086
"Madingley American Cemetery - Operations Map",Madingley,"South Cambridgeshire",0,52.216263,0.056761
"Ascension Parish Burial Ground",Castle,Cambridge,0,52.217273,0.099802
"Haymakers Chesterton","East Chesterton",Cambridge,0,52.217501,0.139336
"Green Dragon Bridge","East Chesterton",Cambridge,0,52.217543,0.145767
"Green Dragon Pub","East Chesterton",Cambridge,0,52.217878,0.14551
"St Laurence's RC Church","West Chesterton",Cambridge,0,52.218109,0.129371
"Chesterton Medical Centre Art","East Chesterton",Cambridge,0,52.218417,0.137054
"St. Augustine's Church ",Castle,Cambridge,0,52.219744,0.107894
"Ancient Shepherds Pub","Fen Ditton","South Cambridgeshire",0,52.22043,0.172516
"The Carlton Arms",Arbury,Cambridge,0,52.22215,0.119023
"Cambridge North Station",Chesterton,Cambridge,0,52.223916,0.158292
"The Plough Fen Ditton","Fen Ditton","South Cambridgeshire",0,52.223983,0.168317
"Cambridge Gurdwara ","King's Hedges",Cambridge,0,52.225112,0.128737
"Golden Hind Pub, Cambridge","King's Hedges",Cambridge,0,52.227814,0.145461
"Jenny Wren","King's Hedges",Cambridge,0,52.229567,0.137149
"Kid's Play Area","King's Hedges",Cambridge,0,52.230217,0.138863
"Cambridge Science Park East",Milton,"South Cambridgeshire",0,52.230273,0.146762
"Meadows Community Centre",Impington,"South Cambridgeshire",0,52.230794,0.117612
"Cambridge Science Park","East Chesterton",Cambridge,0,52.231294,0.149805
"Underpass Graffiti Mural","King's Hedges",Cambridge,0,52.231356,0.128751
"Buchan Street Neighbourhood Centre","King's Hedges",Cambridge,0,52.232315,0.122129
"Cambridge Science Park West",Milton,"South Cambridgeshire",0,52.233797,0.136193
"Number Snake","Orchard Park","South Cambridgeshire",0,52.234163,0.120224
"Five Poles Sculpture",Milton,"South Cambridgeshire",0,52.234379,0.140488
Waveguide,"King's Hedges",Cambridge,0,52.234851,0.130752
"Four Leaf Clover","Orchard Park","South Cambridgeshire",0,52.235027,0.125773
"Travelodge Deer","Orchard Park","South Cambridgeshire",0,52.235181,0.120207
"Fountain - Cambridge",Milton,"South Cambridgeshire",0,52.235627,0.153038
"OP - Stone Shards Alpha","Orchard Park","South Cambridgeshire",0,52.235696,0.126148
"Milton Park Memorial",Milton,"South Cambridgeshire",0,52.236106,0.165696
"Rainbow Poles",Milton,"South Cambridgeshire",0,52.236384,0.163274
"The Wild Place",Milton,"South Cambridgeshire",0,52.236503,0.162541
"Tessa Cohen Clock Tower",Milton,"South Cambridgeshire",0,52.238754,0.154624
"Sycamores Basketball Court",Milton,"South Cambridgeshire",0,52.239323,0.153394
"Girton War Memorial",Girton,"South Cambridgeshire",0,52.240379,0.083605
"Milton Country Park Fen Road Entrance",Milton,"South Cambridgeshire",0,52.241347,0.168651
"Histon Historical Station",Histon,"South Cambridgeshire",0,52.242304,0.110406
"Milton White Horse",Milton,"South Cambridgeshire",0,52.243311,0.161416
"Milton War Memorial",Milton,"South Cambridgeshire",0,52.243882,0.164198
"Impington Village Sign Art",Impington,"South Cambridgeshire",0,52.24404,0.111838
"Vision Park Sculpture",Histon,"South Cambridgeshire",0,52.244316,0.107729
"Cambridge Jubilee Cycleway","Fen Ditton","South Cambridgeshire",0,52.214233,0.18285
"Holy Trinity Balsham",Balsham,"South Cambridgeshire",0,52.133191,0.31828
"Bartlow Hills",Bartlow,"South Cambridgeshire",0,52.079669,0.313924
"Bluntisham War Memorial",Bluntisham,Huntingdonshire,0,52.351506,0.012421
"Bluntisham Baptised Church",Bluntisham,Huntingdonshire,0,52.352506,0.007086
"Broughton Lock-Up",Broughton,Huntingdonshire,0,52.384259,-0.118886
"Burwell Baptist Church",Burwell,"East Cambridgeshire",0,52.284941,0.326467
"The Fox Pub",Burwell,"East Cambridgeshire",0,52.279891,0.324741
"Burwell Village Sign",Burwell,"East Cambridgeshire",0,52.274942,0.327125
"Burwell Parish Water Pump",Burwell,"East Cambridgeshire",0,52.270524,0.32761
"St.Mary the Virgin",Burwell,"East Cambridgeshire",0,52.269848,0.327963
"Colne Village Church",Colne,Huntingdonshire,0,52.365235,0.01357
"Coveney Village Sign",Coveney,"East Cambridgeshire",0,52.414546,0.184863
"Dullingham Church",Dullingham,"East Cambridgeshire",0,52.193343,0.385439
V1,Duxford,"South Cambridgeshire",0,52.09317,0.124538
"Blackbird Flight",Duxford,"South Cambridgeshire",0,52.09213,0.125966
"Bristol Bloodhound",Duxford,"South Cambridgeshire",0,52.094453,0.129833
"Hawker Hurricane",Duxford,"South Cambridgeshire",0,52.096477,0.132993
"A Paddy Bird from Ceylon",Duxford,"South Cambridgeshire",0,52.096892,0.13646
"Duxford War Memorial",Duxford,"South Cambridgeshire",0,52.092082,0.159161
"St. Peter's Church",Duxford,"South Cambridgeshire",0,52.092315,0.159593
"Earith Village Sign",Earith,Huntingdonshire,0,52.353856,0.030995
"Larkfield Community Centre",Ely,"East Cambridgeshire",0,52.406402,0.27403
"Cemetery Chapel",Ely,"East Cambridgeshire",0,52.403649,0.273051
"Queen Victoria Diamond Jubilee",Ely,"East Cambridgeshire",0,52.400338,0.268673
"Wooden Kingfisher Trail Marker",Ely,"East Cambridgeshire",0,52.399133,0.277071
"Kingfisher Statue",Ely,"East Cambridgeshire",0,52.397735,0.276457
"Reed Carving",Ely,"East Cambridgeshire",0,52.397428,0.276072
"Lincoln Bridge",Ely,"East Cambridgeshire",0,52.39555,0.270799
"The South Boundary",Ely,"East Cambridgeshire",0,52.390887,0.268146
"Ely Station",Ely,"East Cambridgeshire",0,52.390806,0.266494
"Drayman's Son Micro-Pub",Ely,"East Cambridgeshire",0,52.398299,0.267773
"Sacrist's Gate",Ely,"East Cambridgeshire",0,52.399234,0.264628
"Ely Cathedrals Broken Tower",Ely,"East Cambridgeshire",0,52.398924,0.262804
"Tree Tunnel",Ely,"East Cambridgeshire",0,52.396107,0.265418
"Bishop Woodford House",Ely,"East Cambridgeshire",0,52.39617,0.259488
"Water Tower",Ely,"East Cambridgeshire",0,52.395478,0.252893
"Russian Cannon Ely",Ely,"East Cambridgeshire",0,52.398951,0.261149
"St Mary's Parish Church",Ely,"East Cambridgeshire",0,52.398657,0.259606
"Oliver Cromwell's House",Ely,"East Cambridgeshire",0,52.398774,0.259111
"Ely Tigers Rugby Club",Ely,"East Cambridgeshire",0,52.410644,0.24938
"Fen Drayton Lakes Elney Lake","Fen Drayton","South Cambridgeshire",0,52.307914,-0.037093
"Fen Drayton War Memorial","Fen Drayton","South Cambridgeshire",0,52.29512,-0.035421
"Fenstanton Clock House",Fenstanton,Huntingdonshire,0,52.298477,-0.07311
"A Particular Chapel",Fenstanton,Huntingdonshire,1,52.300838,-0.065443
"Fenstanton Parish Church",Fenstanton,Huntingdonshire,0,52.300838,-0.065443
"Fordham Wesleyan Chapel",Fordham,"East Cambridgeshire",0,52.311396,0.384107
"Our Glorious Dead",Fordham,"East Cambridgeshire",0,52.31146,0.390559
"Fowlmere Church",Fowlmere,"South Cambridgeshire",0,52.093549,0.07492
"The Shelter",Foxton,"South Cambridgeshire",0,52.113082,0.055173
"Foxton Church",Foxton,"South Cambridgeshire",0,52.115291,0.060775
"Haddenham Methodist Church",Haddenham,"East Cambridgeshire",0,52.357271,0.147849
"Haddenham Church",Haddenham,"East Cambridgeshire",0,52.359339,0.148064
"Fairchilds Meadows",Haddenham,"East Cambridgeshire",0,52.36024,0.152565
"The Pond Field",Haddenham,"East Cambridgeshire",0,52.36174,0.151997
"The Pear Tree",Hildersham,"South Cambridgeshire",0,52.112633,0.252954
"Red Lion, Hinxton",Hinxton,"South Cambridgeshire",0,52.083938,0.182099
"Hinxton Water Mill",Hinxton,"South Cambridgeshire",0,52.085502,0.177664
"Welcome To Ouse Valley Way",Holywell-cum-Needingworth,Huntingdonshire,0,52.317231,-0.031424
"All Saints' Church",Horseheath,"South Cambridgeshire",0,52.101776,0.354872
"World War One Memorial","Houghton and Wyton",Huntingdonshire,0,52.335373,-0.113467
"St. Mary the Virgin, Houghton with Wyton","Houghton and Wyton",Huntingdonshire,0,52.332018,-0.121227
"Ouse Valley Way","Houghton and Wyton",Huntingdonshire,0,52.331287,-0.119888
"Houghton Mill","Houghton and Wyton",Huntingdonshire,0,52.330959,-0.120612
"Ickleton Lion",Ickleton,"South Cambridgeshire",0,52.07185,0.176748
"Ickleton St Mary Magdalene",Ickleton,"South Cambridgeshire",0,52.073009,0.179931
"Linton Village Sign 1992",Linton,"South Cambridgeshire",0,52.097733,0.27785
"Linton Heritage Trail",Linton,"South Cambridgeshire",0,52.097035,0.275482
"St Mary's, Little Abington","Little Abington","South Cambridgeshire",0,52.120019,0.2326
"Down In the Isle",Downham,"East Cambridgeshire",0,52.431618,0.233687
"Little Downham Village Hall",Downham,"East Cambridgeshire",0,52.43384,0.242418
"St Leonard's Church",Downham,"East Cambridgeshire",0,52.434136,0.243804
"Little Thetford Village Sign",Thetford,"East Cambridgeshire",0,52.362776,0.248503
"Littleport Leisure Centre",Littleport,"East Cambridgeshire",0,52.462632,0.301127
"William Harley Tribute Sculpture",Littleport,"East Cambridgeshire",0,52.457218,0.303461
"Globe Inn Historical Site",Littleport,"East Cambridgeshire",0,52.456855,0.305284
"Littleport Village Hall",Littleport,"East Cambridgeshire",0,52.456345,0.308411
"The Old Iron Bell",Melbourn,"South Cambridgeshire",0,52.088229,0.024161
"Wheel Bench",Melbourn,"South Cambridgeshire",0,52.086235,0.023172
"War Memorial",Melbourn,"South Cambridgeshire",0,52.084042,0.016181
"Melbourn Post Office",Melbourn,"South Cambridgeshire",0,52.0813,0.014248
"Village Lockup",Holywell-cum-Needingworth,Huntingdonshire,0,52.330396,-0.031069
"Needingworth Fire Hooks",Holywell-cum-Needingworth,Huntingdonshire,0,52.331157,-0.028718
"St John the Baptist, Pampisford",Pampisford,"South Cambridgeshire",0,52.112212,0.185623
"Duckpond In Pidley","Pidley cum Fenton",Huntingdonshire,0,52.385325,-0.050489
"St. Peter's Church",Ely,"East Cambridgeshire",0,52.416968,0.346554
"Primitive Methodist Church",Ely,"East Cambridgeshire",0,52.41607,0.341273
"Pymoor village sign",Downham,"East Cambridgeshire",0,52.455241,0.20113
"Sawston Hall Gate",Sawston,"South Cambridgeshire",0,52.121493,0.17088
"The Greyhound",Sawston,"South Cambridgeshire",0,52.124633,0.168675
"Sawston Parish Cemetary",Sawston,"South Cambridgeshire",0,52.128185,0.166174
"Shepreth Village Hall",Shepreth,"South Cambridgeshire",0,52.112692,0.03272
"Shepreth Train Station",Shepreth,"South Cambridgeshire",0,52.11416,0.03126
"Elephant Sculpture",Shepreth,"South Cambridgeshire",0,52.114703,0.03684
"Shepreth L-Moor",Shepreth,"South Cambridgeshire",0,52.107634,0.018685
"Soham Library",Soham,"East Cambridgeshire",0,52.331703,0.336552
"St. Andrews Church",Soham,"East Cambridgeshire",0,52.333434,0.337034
"Old Somersham School",Somersham,Huntingdonshire,0,52.382127,-0.002399
"Stretham Church",Stretham,"East Cambridgeshire",0,52.348587,0.218376
"Royal Airforce Memorial",Sutton,"East Cambridgeshire",0,52.392666,0.132726
"St. Andrew's Church",Sutton,"East Cambridgeshire",0,52.389512,0.126898
"Royal British Legion Sutton",Sutton,"East Cambridgeshire",0,52.390406,0.117422
"The Village Pump (West Wratting)","West Wratting","South Cambridgeshire",0,52.145407,0.343835
"Chestnut Tree West Wratting","West Wratting","South Cambridgeshire",0,52.141391,0.348867
"Whittlesford Parkway Station",Whittlesford,"South Cambridgeshire",0,52.103547,0.165784
"Whittlesford Parish Church",Whittlesford,"South Cambridgeshire",0,52.11587,0.150665
"St. Peter's Church Wilburton",Wilburton,"East Cambridgeshire",0,52.353062,0.171055
"Wyton Water Tower",Wyton-on-the-Hill,Huntingdonshire,0,52.347489,-0.120367
"Wyton Airplay Basketball Court",Wyton-on-the-Hill,Huntingdonshire,0,52.349907,-0.114102
"Capital Park Double Helix",Fulbourn,"South Cambridgeshire",0,52.184052,0.190647
"Baits Bite Lock",Milton,"South Cambridgeshire",0,52.236697,0.174587
"Trumpington War Memorial",Trumpington,Cambridge,0,52.175436,0.11257
"Fiftieth Anniversary Commemorative Plaque of the End of WW1",Teversham,"South Cambridgeshire",0,52.20466,0.188669
"Blue Ball",Grantchester,"South Cambridgeshire",0,52.183257,0.094099
"Kingfisher Gardens Play Area ",Trumpington,Cambridge,0,52.16617,0.123393
"Old Milestone Art",Trumpington,Cambridge,0,52.178575,0.114524
"Coleridge Paddling Pool",Coleridge,Cambridge,0,52.193,0.144314
"Ramsden Square Rec","King's Hedges",Cambridge,0,52.227416,0.141545
"Dragon Intercom",Trumpington,Cambridge,0,52.189501,0.12237
"Oakington Village Sign","Oakington and Westwick","South Cambridgeshire",0,52.26034,0.068229
"Fulbourn War Memorial",Fulbourn,"South Cambridgeshire",0,52.181407,0.223354
"Fulbourn Village Sign",Fulbourn,"South Cambridgeshire",0,52.182812,0.222461
"Lolworth Village Hall",Lolworth,"South Cambridgeshire",0,52.257758,0.000355
"The Boot",Histon,"South Cambridgeshire",0,52.251696,0.106377
"St. Mary's Church, Hardwick",Hardwick,"South Cambridgeshire",0,52.208548,0.00725
"Histon War Memorial",Histon,"South Cambridgeshire",0,52.248146,0.108823
"All Saints' Church, Landbeach",Landbeach,"South Cambridgeshire",0,52.266481,0.162231
"Milton Rectory Farm Cow",Milton,"South Cambridgeshire",0,52.249375,0.160323
"To Hear Them and See ",Waterbeach,"South Cambridgeshire",0,52.265795,0.190173
"The White Hart",Fulbourn,"South Cambridgeshire",0,52.178391,0.223745
"Longstanton Church",Longstanton,"South Cambridgeshire",0,52.278043,0.049064
"Histon and Impington Cemetery",Histon,"South Cambridgeshire",0,52.253127,0.110809
Pillbox,Milton,"South Cambridgeshire",0,52.252062,0.18793
"Cambridge American Cemetery and Memorial",Madingley,"South Cambridgeshire",0,52.216089,0.053812
"The Orchards' Old Water Pump",Hardwick,"South Cambridgeshire",0,52.216132,0.007605
"Landbeach Worts Meadow Medieval Moat & Village",Landbeach,"South Cambridgeshire",0,52.264573,0.160656
"All Saint's Church, Milton",Milton,"South Cambridgeshire",0,52.244284,0.166398
"Bar Hill Library","Bar Hill","South Cambridgeshire",0,52.252729,0.020694
"The Waggon and Horses",Milton,"South Cambridgeshire",0,52.244696,0.16345
"Horningsea Village Potter",Horningsea,"South Cambridgeshire",0,52.240449,0.185759
"St. John's Church",Waterbeach,"South Cambridgeshire",0,52.263605,0.192948
"Waterbeach Abbey",Waterbeach,"South Cambridgeshire",0,52.263161,0.193124
"Bar Hill Memorial Garden","Bar Hill","South Cambridgeshire",0,52.252838,0.018756
"Quy Village Hall","Stow cum Quy","South Cambridgeshire",0,52.222232,0.22487
"Kings Goblet",Lode,"East Cambridgeshire",0,52.235656,0.232678
"The Sling Shot",Lode,"East Cambridgeshire",0,52.236162,0.234555
"Great/Little Eversden Boundary sign","Little Eversden","South Cambridgeshire",0,52.15943,0.000801
"St. Andrew's Church",Impington,"South Cambridgeshire",0,52.248141,0.119374
"St Mary Magdalene Church ",Madingley,"South Cambridgeshire",0,52.223637,0.040859
"Footpaths of Barton ",Barton,"South Cambridgeshire",0,52.182559,0.05562
"Histon Village Sign",Histon,"South Cambridgeshire",0,52.251626,0.10798
"Badgers Holt",Longstanton,"South Cambridgeshire",0,52.273672,0.05591
"Landbeach Village Sign",Landbeach,"South Cambridgeshire",0,52.264325,0.162147
"The Cam Boat Winch",Horningsea,"South Cambridgeshire",0,52.25794,0.199878
"Waterbeach Station",Waterbeach,"South Cambridgeshire",0,52.26197,0.196556
"Clayhithe Bridge",Horningsea,"South Cambridgeshire",0,52.25761,0.198806
"Madingly 800 Wood",Madingley,"South Cambridgeshire",0,52.21967,0.051667
"Twin Stars",Histon,"South Cambridgeshire",0,52.244209,0.107562
"Bar Hill Monument","Bar Hill","South Cambridgeshire",0,52.255046,0.023308
"Saints Peter and Paul Church","Dry Drayton","South Cambridgeshire",0,52.238601,0.019406
"Comberton Library Statue",Toft,"South Cambridgeshire",0,52.185265,0.011283
"In Memory of Iain Stewartt",Toft,"South Cambridgeshire",0,52.183167,-0.010055
"The Golden Ball Inn",Boxworth,"South Cambridgeshire",0,52.258509,-0.031027
"Holy Trinity Church",Bottisham,"East Cambridgeshire",0,52.220916,0.260854
"Water Tower","Swaffham Prior","East Cambridgeshire",0,52.253282,0.301923
"Baron Fairhaven",Lode,"East Cambridgeshire",0,52.237992,0.243356
"Giant's Font",Lode,"East Cambridgeshire",0,52.237738,0.242203
"Lode Mill",Lode,"East Cambridgeshire",0,52.240317,0.240071
"What's That Boy?",Lode,"East Cambridgeshire",0,52.239526,0.242105
"Parish Church Of St James",Lode,"East Cambridgeshire",0,52.241102,0.245337
"Sad Griffin",Lode,"East Cambridgeshire",0,52.238185,0.239279
"The Holy Trinity",Lode,"East Cambridgeshire",0,52.237618,0.24068
"Square and Compass Pub","Great Shelford","South Cambridgeshire",0,52.148774,0.133858
"Three Horseshoes",Stapleford,"South Cambridgeshire",0,52.144478,0.147086
"The White Horse of Hanover","Little Shelford","South Cambridgeshire",0,52.140274,0.122688
"Wandlebury Clock Tower",Stapleford,"South Cambridgeshire",0,52.158265,0.182266
"Trumpington Farm to Hauxton",Hauxton,"South Cambridgeshire",0,52.155013,0.091921
"Shelford Recreation Ground","Great Shelford","South Cambridgeshire",0,52.145185,0.135426
"Haslingfield Field Plaque",Haslingfield,"South Cambridgeshire",0,52.149778,0.058961
"All Saint's Church",Haslingfield,"South Cambridgeshire",0,52.149606,0.05007
"Longstanton Village Sign",Longstanton,"South Cambridgeshire",0,52.278773,0.047485
"Fleam Dyke Top Path","Great Wilbraham","South Cambridgeshire",0,52.177187,0.246803
"Burwell Community Sports Centre",Burwell,"East Cambridgeshire",0,52.279704,0.327318
"Graeme Greene's Spring",Harston,"South Cambridgeshire",0,52.137128,0.076491
"Wellcome Trust Sanger Institute",Hinxton,"South Cambridgeshire",0,52.079058,0.186309
"The Hinxton Hall Wellcome Trust",Hinxton,"South Cambridgeshire",0,52.081604,0.184582
"Babraham War Memorial",Babraham,"South Cambridgeshire",0,52.131084,0.20952
"John Arnfield Heap Memorial",Harston,"South Cambridgeshire",0,52.13815,0.081297
"Whittlesford Village Sign",Whittlesford,"South Cambridgeshire",0,52.11551,0.144232
"Newton Church",Newton,"South Cambridgeshire",0,52.122172,0.094977
"Barrington All Saints Church",Barrington,"South Cambridgeshire",0,52.130231,0.03895
"St. Andrews Church",Orwell,"South Cambridgeshire",0,52.135691,-0.011069
"Harston War Memorial",Harston,"South Cambridgeshire",0,52.136529,0.079798
"St George's Church, Thriplow",Thriplow,"South Cambridgeshire",0,52.10209,0.10404
"Giant Wurzburg Radar",Duxford,"South Cambridgeshire",0,52.093157,0.125304
"Thriplow Smithy",Thriplow,"South Cambridgeshire",0,52.099691,0.096144
"The Green Man",Thriplow,"South Cambridgeshire",0,52.099269,0.095539
"Barrington Village Sign ",Barrington,"South Cambridgeshire",0,52.127247,0.032047
"Barrington Duck Pond",Barrington,"South Cambridgeshire",0,52.126152,0.026886
"Pub: The Chequers Orwell",Orwell,"South Cambridgeshire",0,52.133534,-0.012999
